m,y,p,c,u,lat,lng,t
107000,1400,"Elbogen","CZ","7823",50.18333,12.73333,"Iron, IID"
103.3,1491,"Rivolta de Bassi","IT","22614",45.48333,9.51667,"Stone-uncl"
127000,1492,"Ensisheim","FR","10039",47.86667,7.35,"LL6"
15000,1583,"Castrovillari","IT","5295",39.8,16.2,"Stone-uncl"
1967,1621,"Jalandhar","IN","12069",31,75,"Iron"
10400,1623,"Stretchleigh","GB","23732",50.38333,-3.95,"Stone-uncl"
29000,1628,"Hatford","GB","11855",51.65,-1.51667,"Stone-uncl"
1040,1632,"Minamino","JP","16692",35.07833,136.93333,"L"
17000,1637,"Mount Vaisi","FR","16805",44.08333,6.86667,"Stone-uncl"
40,1668,"Vago","IT","24143",45.41667,11.13333,"H6"
695,1688,"Sasagase","JP","23187",34.71667,137.78333,"H"
7000,1715,"Schellin","PL","23457",53.35,15.05,"L"
24700,1740,"Rasgrad","BG","22396",43.5,26.53333,"Stone-uncl"
14360,1741,"Ogi","JP","17994",33.28333,130.2,"H6"
49000,1751,"Hraschina","HR","11916",46.1,16.33333,"Iron, IID"
14000,1753,"Luponnas","FR","14757",46.21667,5,"H3-5"
7540,1753,"Tabor","CZ","23776",49.4,14.65,"H5"
14,1760,"Brianza","IT","5138",45.75,9.25,"Pseudometeorite"
2000,1766,"Albareto","IT","453",44.65,11.01667,"L/LL4"
19000,1768,"Mauerkirchen","AT","15446",48.18333,13.13333,"L6"
3500,1768,"Lucé","FR","14724",47.85,0.48333,"L6"
4000,1773,"Sena","ES","23495",41.71667,-0.05,"H4"
2900,1775,"Rodach","DE","22642",50.35,10.8,"Stone-uncl"
3000,1785,"Eichstädt","DE","7775",48.9,11.21667,"H5"
1500,1787,"Kharkov","UA","12291",50.625,35.075,"L6"
3700,1794,"Siena","IT","23586",43.11667,11.6,"LL5"
25000,1795,"Wold Cottage","GB","24325",54.13667,-0.41333,"L6"
4500,1796,"Portugal","PT","18876",38.5,-8,"Stone-uncl"
25.5,1795,"Mulletiwu","LK","16851",9.33333,80.83333,"L"
9000,1798,"Salles","FR","23111",46.05,4.63333,"L5"
3700,1798,"Benares","IN","5011",25.36667,82.91667,"LL4"
220,1801,"Mauritius","MU","15447",-20,57,"L6"
37000,1803,"L'Aigle","FR","12434",48.76667,0.63333,"L6"
3200,1803,"Apt","FR","2320",43.86667,5.38333,"L6"
1600,1803,"Mässing","DE","15443",48.13333,12.61667,"Howardite"
100,1804,"Darmstadt","DE","6603",49.86667,8.65,"H5"
56,1804,"Bocas","MX","5093",23,-102,"L6"
41,1805,"Asco","FR","2345",42.45,9.033329999999999,"H6"
3891,1805,"Doroninsk","RU","7718",51.2,112.3,"H5-7"
6000,1806,"Alais","FR","448",44.11667,4.08333,"CI1"
150000,1807,"Weston","US","24249",41.266667,-73.266667,"H4"
65500,1807,"Timochin","RU","24004",54.5,35.2,"H5"
70,1808,"Moradabad","IN","16740",28.78333,78.83333,"L6"
12800,1808,"Lissa","CZ","14661",50.2,14.85,"L6"
1676,1808,"Borgo San Donino","IT","5110",44.86667,10.05,"LL6"
195,1809,"Kikino","RU","12306",55,34,"H6"
27000,1810,"Charsonville","FR","5329",47.93333,1.56667,"H6"
1360,1810,"Caswell County","US","5296",36.5,-79.25,"OC"
1440,1811,"Berlanguillas","ES","5029",41.68333,-3.8,"L6"
6000,1811,"Kuleschovka","UA","12370",50.75,33.5,"L6"
100,1811,"Punganaru","IN","18902",13.33333,78.95,"Stone-uncl"
31500,1812,"Chantonnay","FR","5325",46.68333,1.05,"L6"
2250,1812,"Erxleben","DE","10049",52.21667,11.25,"H6"
1030,1812,"Toulouse","FR","24036",43.6,1.4,"H6"
500,1812,"Borodino","RU","5114",55.46667,35.86667,"H5"
50000,1813,"Limerick","IE","14652",52.56667,-8.783329999999999,"H5"
885,1813,"Luotolax","FI","14756",61.2,27.7,"Howardite"
30000,1814,"Agen","FR","392",44.21667,0.6166700000000001,"H5"
18000,1814,"Bachmut","UA","4917",48.6,38,"L6"
28,1814,"Gurram Konda","IN","11464",13.78333,78.56667,"L6"
0.5,1814,"Chail","IN","5314",25.36667,81.66667,"H6"
4000,1815,"Chassigny","FR","5331",47.71667,5.36667,"Martian (chassignite)"
0.2,1817,"Hachi-oji","JP","11468",35.65,139.33333,"H?"
5000,1819,"Jonzac","FR","12202",45.43333,-0.45,"Eucrite-mmict"
8500,1818,"Seres","GR","23501",41.05,23.56667,"H4"
3000,1819,"Pohlitz","DE","18853",50.93333,12.13333,"L5"
2750,1818,"Slobodka","RU","23645",55,35,"L4"
5213,1820,"Lixna","LV","14670",56,26.43333,"H4"
91000,1821,"Juvinas","FR","12214",44.71667,4.3,"Eucrite-mmict"
277,1822,"Épinal","FR","10041",48.18333,6.46667,"H5"
100,1822,"Umbala","IN","24112",30.33333,76.33333,"LL5"
4000,1822,"Futtehpur","IN","10839",25.95,80.81667,"L6"
89,1822,"Kadonah","IN","12221",27.08333,78.33333,"H6"
2300,1823,"Nobleborough","US","16984",44.08333,-69.48333,"Eucrite-pmict"
614,1823,"Botschetschki","UA","5117",51.33333,33.88333,"L4"
2000,1824,"Tounkin","RU","24037",51.73333,102.53333,"OC"
1000,1824,"Renazzo","IT","22586",44.76667,11.28333,"CR2"
7500,1825,"Nanjemoy","US","16904",38.41667,-77.16667,"H6"
2420,1825,"Honolulu","US","11904",21.3,-157.86667,"L5"
42,1826,"Mineo","IT","16696",37.28333,14.7,"Pallasite"
132.7,1826,"Galapian","FR","10846",44.3,0.4,"H6"
5000,1827,"Drake Creek","US","7728",36.4,-86.5,"L6"
