place,nametype,type_of_meteorite,g_mass,fell_found,year,id,latitude,longitude
Aachen,Valid,L5,21,Fell,1880,1,50.775000,6.083330
Aarhus,Valid,H6,720,Fell,1951,2,56.183330,10.233330
Abee,Valid,EH4,107000,Fell,1952,6,54.216670,-113.000000
Acapulco,Valid,Acapulcoite,1914,Fell,1976,10,16.883330,-99.900000
Achiras,Valid,L6,780,Fell,1902,370,-33.166670,-64.950000
Adhi Kot,Valid,EH4,4239,Fell,1919,379,32.100000,71.800000
Adzhi-Bogdo (stone),Valid,LL3-6,910,Fell,1949,390,44.833330,95.166670
Agen,Valid,H5,30000,Fell,1814,392,44.216670,0.616670
Aguada,Valid,L6,1620,Fell,1930,398,-31.600000,-65.233330
Aguila Blanca,Valid,L,1440,Fell,1920,417,-30.866670,-64.550000
Aioun el Atrouss,Valid,Diogenite-pm,1000,Fell,1974,423,16.398060,-9.570280
Aïr,Valid,L6,24000,Fell,1925,424,19.083330,8.383330
Aire-sur-la-Lys,Valid,Unknown,,Fell,1769,425,50.666670,2.333330
Akaba,Valid,L6,779,Fell,1949,426,29.516670,35.050000
Akbarpur,Valid,H4,1800,Fell,1838,427,29.716670,77.950000
Akwanga,Valid,H,3000,Fell,1959,432,8.916670,8.433330
Akyumak,Valid,"Iron, IVA",50000,Fell,1981,433,39.916670,42.816670
Al Rais,Valid,CR2-an,160,Fell,1957,446,24.416670,39.516670
Al Zarnkh,Valid,LL5,700,Fell,2001,447,13.660330,28.960000
Alais,Valid,CI1,6000,Fell,1806,448,44.116670,4.083330
Albareto,Valid,L/LL4,2000,Fell,1766,453,44.650000,11.016670
Alberta,Valid,L,625,Fell,1949,454,2.000000,22.666670
Alby sur Chéran,Valid,Eucrite-mmict,252,Fell,2002,458,45.821330,6.015330
Aldsworth,Valid,LL5,700,Fell,1835,461,51.783330,-1.783330
Aleppo,Valid,L6,3200,Fell,1873,462,36.233330,37.133330
Alessandria,Valid,H5,908,Fell,1860,463,44.883330,8.750000
Alexandrovsky,Valid,H4,9251,Fell,1900,465,50.950000,31.816670
Alfianello,Valid,L6,228000,Fell,1883,466,45.266670,10.150000
Allegan,Valid,H5,32000,Fell,1899,2276,42.533330,-85.883330
Allende,Valid,CV3,2e+06,Fell,1969,2278,26.966670,-105.316670
Almahata Sitta,Valid,Ureilite-an,3950,Fell,2008,48915,20.745750,32.412750
Alta'ameem,Valid,LL5,6000,Fell,1977,2284,35.273330,44.215560
Ambapur Nagla,Valid,H5,6400,Fell,1895,2290,27.666670,78.250000
Andhara,Valid,Stone-uncl,2700,Fell,1880,2294,26.583330,85.566670
Andover,Valid,L6,3200,Fell,1898,2295,44.616670,-70.750000
Andreevka,Valid,L3,600,Fell,1969,2296,48.700000,37.500000
Andura,Valid,H6,17900,Fell,1939,2298,20.883330,76.866670
Angers,Valid,L6,,Fell,1822,2301,47.466670,-0.550000
Angra dos Reis (stone),Valid,Angrite,1500,Fell,1869,2302,-22.966670,-44.316670
Ankober,Valid,H4,6500,Fell,1942,2304,9.533330,39.716670
Anlong,Valid,H5,2500,Fell,1971,2305,25.150000,105.183330
Aomori,Valid,L6,320,Fell,1984,2313,40.810560,140.785560
Appley Bridge,Valid,LL6,15000,Fell,1914,2318,53.583330,-2.716670
Apt,Valid,L6,3200,Fell,1803,2320,43.866670,5.383330
Arbol Solo,Valid,H5,810,Fell,1954,2325,-33.000000,-66.000000
Archie,Valid,H6,5070,Fell,1932,2329,38.500000,-94.300000
Arroyo Aguiar,Valid,H5,7450,Fell,1950,2340,-31.416670,-60.666670
Asco,Valid,H6,41,Fell,1805,2345,42.450000,9.033330
Ash Creek,Valid,L6,9500,Fell,2009,48954,31.805000,-97.010000
Ashdon,Valid,L6,1300,Fell,1923,2346,52.050000,0.300000
Assisi,Valid,H5,2000,Fell,1886,2353,43.033330,12.550000
Atarra,Valid,L4,1280,Fell,1920,4883,25.254170,80.625000
Atemajac,Valid,L6,94.2,Fell,1896,4884,20.066670,-103.666670
Athens,Valid,LL6,265,Fell,1933,4885,34.750000,-87.000000
Atoka,Valid,L6,1384.2,Fell,1945,4888,34.316670,-96.150000
Aubres,Valid,Aubrite,800,Fell,1836,4893,44.383330,5.166670
Aumale,Valid,L6,50000,Fell,1865,4899,36.166670,3.666670
Aumieres,Valid,L6,2000,Fell,1842,4900,44.333330,3.233330
Ausson,Valid,L5,50000,Fell,1858,4903,43.083330,0.583330
